Year,Country,Economy (GDP per Capita),Family or social support,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity
2015,Switzerland,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678
2015,Iceland,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363
2015,Denmark,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139
2015,Norway,1.459,1.33095,0.88521,0.66973,0.36503,0.34699
2015,Canada,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811
2015,Finland,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351
2015,Netherlands,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761
2015,Sweden,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262
2015,New Zealand,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501
2015,Australia,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562
2015,Israel,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172
2015,Costa Rica,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497
2015,Austria,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088
2015,Mexico,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074
2015,United States,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105
2015,Brazil,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574
2015,Luxembourg,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034
2015,Ireland,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901
2015,Belgium,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225
2015,United Arab Emirates,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428
2015,United Kingdom,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912
2015,Venezuela,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841
2015,Singapore,1.52186,1.02,1.02525,0.54252,0.4921,0.31105
2015,Panama,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434
2015,Germany,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214
2015,Chile,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363
2015,Qatar,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573
2015,France,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332
2015,Argentina,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451
2015,Czech Republic,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686
2015,Uruguay,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324
2015,Colombia,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401
2015,Thailand,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763
2015,Saudi Arabia,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706
2015,Spain,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227
2015,Malta,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752
2015,Taiwan,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376
2015,Kuwait,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228
2015,El Salvador,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692
2015,Guatemala,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489
2015,Uzbekistan,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837
2015,Slovakia,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893
2015,Japan,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705
2015,South Korea,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557
2015,Ecuador,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541
2015,Bahrain,1.32376,1.21624,0.74716,0.45492,0.306,0.17362
2015,Italy,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823
2015,Bolivia,0.68133,0.97841,0.5392,0.57414,0.088,0.20536
2015,Moldova,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951
2015,Paraguay,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424
2015,Kazakhstan,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827
2015,Slovenia,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328
2015,Lithuania,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641
2015,Nicaragua,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815
2015,Peru,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982
2015,Belarus,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046
2015,Poland,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759
2015,Malaysia,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075
2015,Croatia,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444
2015,Libya,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295
2015,Russia,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199
2015,Jamaica,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123
2015,Cyprus,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638
2015,Algeria,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822
2015,Kosovo,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831
2015,Turkmenistan,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979
2015,Mauritius,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744
2015,Hong Kong,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478
2015,Estonia,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868
2015,Indonesia,0.82827,1.08708,0.63793,0.46611,0,0.51535
2015,Vietnam,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686
2015,Turkey,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253
2015,Kyrgyzstan,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003
2015,Nigeria,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233
2015,Bhutan,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998
2015,Azerbaijan,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799
2015,Pakistan,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671
2015,Jordan,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053
2015,Montenegro,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614
2015,China,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185
2015,Zambia,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591
2015,Romania,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748
2015,Serbia,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231
2015,Portugal,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719
2015,Latvia,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226
2015,Philippines,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991
