Country,Economy (GDP per Capita),Family or social support,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity
Romania,1.162,1.232,0.825,0.462,0.005,0.083
Russia,1.183,1.452,0.726,0.334,0.031,0.082
Rwanda,0.359,0.711,0.614,0.555,0.411,0.217
Saudi Arabia,1.403,1.357,0.795,0.439,0.132,0.08
Senegal,0.45,1.134,0.571,0.292,0.072,0.153
Serbia,1.004,1.383,0.854,0.282,0.039,0.137
Sierra Leone,0.268,0.841,0.242,0.309,0.045,0.252
Singapore,1.572,1.463,1.141,0.556,0.453,0.271
Slovakia,1.246,1.504,0.881,0.334,0.014,0.121
Slovenia,1.258,1.523,0.953,0.564,0.057,0.144
South Africa,0.96,1.351,0.469,0.389,0.055,0.13
South Korea,1.301,1.219,1.036,0.159,0.056,0.175
Spain,1.286,1.484,1.062,0.362,0.079,0.153
Sri Lanka,0.949,1.265,0.831,0.47,0.047,0.244
Sweden,1.387,1.487,1.009,0.574,0.373,0.267
Switzerland,1.452,1.526,1.052,0.572,0.343,0.263
Syria,0.619,0.378,0.44,0.013,0.141,0.331
Taiwan,1.368,1.43,0.914,0.351,0.097,0.242
Tajikistan,0.493,1.098,0.718,0.389,0.144,0.23
Tanzania,0.476,0.885,0.499,0.417,0.147,0.276
Thailand,1.05,1.409,0.828,0.557,0.028,0.359
Togo,0.275,0.572,0.41,0.293,0.085,0.177
Tunisia,0.921,1,0.815,0.167,0.055,0.059
Turkey,1.183,1.36,0.808,0.195,0.106,0.083
Turkmenistan,1.052,1.538,0.657,0.394,0.028,0.244
Uganda,0.332,1.069,0.443,0.356,0.06,0.252
Ukraine,0.82,1.39,0.739,0.178,0.01,0.187
United Arab Emirates,1.503,1.31,0.825,0.598,0.182,0.262
United Kingdom,1.333,1.538,0.996,0.45,0.278,0.348
United States,1.433,1.457,0.874,0.454,0.128,0.28
Uruguay,1.124,1.465,0.891,0.523,0.15,0.127
Uzbekistan,0.745,1.529,0.756,0.631,0.24,0.322
Venezuela,0.96,1.427,0.805,0.154,0.047,0.064
Vietnam,0.741,1.346,0.851,0.543,0.073,0.147
World Average,0.93472028,1.230321678,0.750755245,0.39551049,0.110594406,0.184174825
Yemen,0.287,1.163,0.463,0.143,0.077,0.108
Zambia,0.578,1.058,0.426,0.431,0.087,0.247
Zimbabwe,0.366,1.114,0.433,0.361,0.089,0.151
