Country,Economy (GDP per Capita),Family or social support,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity
Lithuania,34.1868697,37.9075189,19.6325714,7.0854268,0.4899904,0.6976229
Luxembourg,32.419547,26.590907,17.8855623,11.5575792,6.6796123,4.8667921
Madagascar,13.9469828,40.5550614,22.7681323,9.3030687,3.2888555,10.1378993
Malawi,8.3460307,25.4029261,19.1272598,26.7344815,4.5278248,15.861477
Malaysia,31.1166579,29.1344418,17.8145351,11.2482726,1.7715893,8.9145032
Mali,15.9253521,48.6896779,8.8119158,14.688123,4.1732543,7.7116769
Malta,26.9284967,29.0469688,18.411595,12.3630101,3.1729677,10.0769616
Mauritania,23.3652523,44.3282411,14.0636635,5.4251807,5.5229575,7.2947049
Mauritius,28.8716737,29.8599205,18.1602364,13.4995523,1.4533898,8.1552272
Mexico,29.8615042,29.962033,21.3461852,12.0824249,3.8590861,2.8887667
Moldova,23.1720192,39.5326918,21.3269837,8.9587596,0.3124782,6.6970674
Mongolia,25.9092298,38.1619184,16.2809791,10.4723819,0.8941812,8.2813096
Montenegro,31.4189705,33.1199432,21.7456285,5.9021147,3.1128587,4.7004843
Morocco,30.463324,25.5335852,24.5683336,14.7995475,3.0758988,1.5593109
Myanmar,14.3220833,29.5167561,13.6666032,15.0182923,5.6265322,21.8497328
Nepal,15.0270572,36.1892388,19.4337112,15.0353874,2.5715075,11.7430979
Netherlands,28.5477398,27.3061555,17.7752912,11.9298697,6.0415926,8.3993513
New Zealand,25.8362547,28.232976,17.4845596,12.1146661,7.8442702,8.4872734
Nicaragua,19.4670696,34.3093002,20.5994144,13.9698505,4.2642008,7.3901645
Niger,6.5590658,41.569913,14.653123,19.9871366,6.9185837,10.3121779
Nigeria,28.8081108,40.6753969,4.5208504,15.3484031,1.3691622,9.2780767
Norway,29.5899944,27.8702333,17.0081985,12.4260186,6.698454,6.4071012
Pakistan,28.3230863,25.8183639,19.3269197,9.7488782,4.9088769,11.873875
Palestinian Territories,23.8401306,38.194024,22.2728686,8.4796849,3.3861115,3.8271803
Panama,28.6318559,32.1201091,19.3500048,13.4368637,1.8198131,4.6413534
Paraguay,23.1038231,37.389588,17.3715921,13.6687447,2.1690086,6.2972435
Peru,28.5269213,32.6857128,20.7992813,13.1536137,1.3056708,3.5288001
Philippines,23.5146586,34.3037779,15.9817699,17.5903144,3.2782983,5.3311809
Poland,30.1720956,33.2309075,19.136277,12.6397542,1.3497304,3.4712352
Portugal,30.9814458,31.735381,21.865829,12.7263406,0.4217567,2.2692468
Qatar,35.3447208,23.7100366,15.5822346,12.2444164,7.2156107,5.902981
Romania,32.8768917,30.0329341,21.1991477,12.4669975,0.1363023,3.2877268
Russia,33.2720677,37.1817845,17.4068457,10.007655,0.8608755,1.2707715
Rwanda,11.4633797,28.0643977,14.8621233,20.7019919,16.8527325,8.0553748
Saudi Arabia,35.459824,29.101174,16.4109835,10.2832363,5.7038317,3.0409506
Senegal,17.0285483,40.7239846,17.7116291,13.7883668,3.8782223,6.869249
Serbia,30.0664787,35.0537169,21.5374596,6.8325131,1.1565973,5.3532343
Sierra Leone,17.0138907,45.2469497,2.6532351,18.1974788,3.6322684,13.2561774
Singapore,30.847692,23.8521743,19.6498804,10.7223692,9.0530844,5.8747996
Slovakia,32.237776,35.697992,19.9863971,7.9442014,0.6002034,3.53343
Slovenia,29.2150936,31.5737646,19.7684676,13.4878186,1.0538449,4.9010107
South Africa,31.075967,39.9030315,9.1912734,13.5810307,2.2612325,3.9874648
South Korea,34.5064426,27.4620399,24.9005544,6.5344667,1.7115372,4.8849592
Spain,30.2189272,32.5609178,22.1058521,9.5613972,1.6252425,3.9276632
Sri Lanka,24.9601013,30.3971274,18.4127314,14.1795208,1.822403,10.228116
Sweden,27.9502678,27.2453897,17.8969886,12.2947132,7.9134095,6.6992312
Switzerland,28.89059,27.8145439,18.2178506,12.1798373,7.4526962,5.4444821
Syria,30.4774966,15.5167177,24.6868891,3.5616898,6.9554372,18.8017696
Taiwan,33.0484952,30.1465419,20.422081,8.9270206,1.8629857,5.5928756
Tajikistan,16.5857718,36.0125016,20.6415949,14.4047306,4.2692601,8.086141
Tanzania,17.1907701,36.720107,15.5081403,15.1230165,3.271772,12.1861942
Thailand,25.2223722,31.5232403,17.1504553,13.5784459,0.7149259,11.8105603
Togo,17.5208104,21.3229296,19.0139766,23.9708263,6.6538251,11.5176319
Tunisia,34.0175871,27.6567088,25.0554393,8.8980337,2.5404711,1.8317601
Turkey,32.9722343,33.8090838,20.1121992,7.3721539,3.4123457,2.321983
Turkmenistan,27.9443961,36.4363323,13.8224708,11.0949789,4.8947107,5.8071111
Uganda,13.0472792,43.6505137,11.7279452,17.5448179,2.5802408,11.4492031
Ukraine,26.5973974,40.8192028,20.262348,5.3696019,0.5850056,6.3664443
United Arab Emirates,35.8757314,23.3293152,16.402341,11.7493308,6.8030726,5.840209
United Kingdom,28.1018993,28.7398641,18.5250065,10.583855,5.1267409,8.9226341
United States,31.5896243,28.8259557,17.8265691,10.9978096,3.0558838,7.7041574
Uruguay,27.2557558,31.5702174,18.7919355,13.8006804,4.5247856,4.0566253
Uzbekistan,18.0916185,35.8478653,14.7912026,16.3975752,6.6847276,8.1870107
Venezuela,30.9384582,38.8987824,20.0993121,6.2822229,2.1001813,1.681043
Vietnam,20.972876,33.0034283,20.9521263,16.7340803,2.6649143,5.6725748
Yemen,22.9902297,40.6628707,17.1701121,11.472487,3.1501147,4.5541859
Zambia,22.1204007,36.0721327,11.7132761,17.8777531,3.7657792,8.4506582
Zimbabwe,15.5760809,45.622382,12.422913,14.6346624,4.0743974,7.6695643
